"","Team1","Team2","Goal_Team_1","Goal_Team_2","Hasil"
"212","Real Madrid","Schalke 04",3,4,"Team 2 Menang"
"213","Basel","Porto",1,1,"Imbang"
"214","Porto","Basel",4,0,"Team 1 Menang"
"215","Juventus","Dortmund",2,1,"Team 1 Menang"
"216","Dortmund","Juventus",0,3,"Team 2 Menang"
"217","Leverkusen","Atlético Madrid",1,0,"Team 1 Menang"
"218","Atlético Madrid","Leverkusen",1,0,"Team 1 Menang"
"219","Paris S-G","Chelsea",1,1,"Imbang"
"220","Chelsea","Paris S-G",2,2,"Imbang"
"221","Real Madrid","Atlético Madrid",4,1,"Team 1 Menang"
"222","Real Madrid","Bayern Munich",1,0,"Team 1 Menang"
"223","Bayern Munich","Real Madrid",0,4,"Team 2 Menang"
"224","Atlético Madrid","Chelsea",0,0,"Imbang"
"225","Chelsea","Atlético Madrid",1,3,"Team 2 Menang"
"226","Manchester Utd","Bayern Munich",1,1,"Imbang"
"227","Bayern Munich","Manchester Utd",3,1,"Team 1 Menang"
"228","Barcelona","Atlético Madrid",1,1,"Imbang"
"229","Atlético Madrid","Barcelona",1,0,"Team 1 Menang"
"230","Real Madrid","Dortmund",3,0,"Team 1 Menang"
"231","Dortmund","Real Madrid",2,0,"Team 1 Menang"
"232","Paris S-G","Chelsea",3,1,"Team 1 Menang"
"233","Chelsea","Paris S-G",2,0,"Team 1 Menang"
"234","Arsenal","Bayern Munich",0,2,"Team 2 Menang"
"235","Bayern Munich","Arsenal",1,1,"Imbang"
"236","Olympiacos","Manchester Utd",2,0,"Team 1 Menang"
"237","Manchester Utd","Olympiacos",3,0,"Team 1 Menang"
"238","Manchester City","Barcelona",0,2,"Team 2 Menang"
"239","Barcelona","Manchester City",2,1,"Team 1 Menang"
"240","Schalke 04","Real Madrid",1,6,"Team 2 Menang"
"241","Real Madrid","Schalke 04",3,1,"Team 1 Menang"
"242","Zenit","Dortmund",2,4,"Team 2 Menang"
"243","Dortmund","Zenit",1,2,"Team 2 Menang"
